time_sec;F_signal;F_signal_DNA
30060;200.457549;198.0914744
30120;199.6476895;198.3704306
30180;200.100258;198.6214913
30240;200.5138494;198.0170861
30300;200.4488874;198.8957982
30360;200.360106;197.9264253
30420;199.5805621;198.4169233
30480;200.2388436;197.9264253
30540;200.1673854;198.2797699
30600;200.1522276;198.0194107
30660;200.5788113;197.8473877
30720;199.4268187;197.7148835
30780;200.4813684;197.8915558
30840;200.2540014;198.1891091
30900;200.0612808;198.6517115
30960;199.5545773;198.1007729
31020;199.9724994;198.419248
31080;199.6108777;198.247225
31140;199.5047731;198.2402511
31200;199.3726837;198.1774859
31260;199.2319327;197.8938804
31320;199.8252522;198.2053815
31380;199.6823359;197.9519963
31440;199.6801705;198.4982856
31500;200.0764386;198.1612135
31560;199.9335222;198.0542802
31620;200.500857;198.5424537
31680;200.0287998;198.3820538
31740;200.0591154;198.6121927
31800;199.8469062;197.7729994
31860;199.9963188;197.8613355
31920;200.3211288;197.5916778
31980;199.7992674;198.3192887
32040;200.4532182;197.8194921
32100;199.7234785;198.4541175
32160;200.3666022;197.5661068
32220;200.1630546;198.1612135
32280;200.2994748;197.6800139
32340;199.9465146;198.1635381
32400;199.3466989;198.144941
32460;200.4943608;197.4266287
32520;199.9530108;198.2611728
32580;200.0656116;198.2239786
32640;199.9508454;198.075202
32700;200.9166137;197.4824199
32760;199.5892237;198.3634567
32820;200.1803778;197.3243447
32880;200.295144;198.1286686
32940;199.6845013;197.628872
33000;200.0179728;197.6846632
33060;200.035296;198.7749172
33120;200.3016402;197.9566456
33180;199.9291914;198.1914337
33240;199.8035982;198.4285465
33300;200.3254596;197.877608
33360;199.8598986;198.7586447
33420;200.6870813;198.591271
33480;199.7581249;198.6284652
33540;200.5030224;198.3006916
33600;200.5636535;198.8957982
33660;200.5528266;198.4820131
33720;199.7537941;198.488987
33780;199.8274176;198.1007729
33840;199.9183644;197.7148835
33900;200.1175812;198.342535
33960;200.2475052;198.0380078
34020;200.0331306;197.826466
34080;199.9854918;198.4541175
34140;200.0266344;197.9148021
34200;199.3531951;198.2820945
34260;199.8772218;197.9915151
34320;200.5918037;198.2681467
34380;200.3406174;198.1751613
34440;200.1890394;198.1426164
34500;199.7169823;198.170512
34560;200.3622714;197.3778114
34620;200.2669938;197.9636195
34680;200.2756554;198.0519556
34740;200.0699424;198.6749579
34800;199.6238701;198.4773639
34860;199.0651969;198.1309932
34920;200.0591154;198.3960016
34980;200.1089196;198.0589295
35040;200.3341212;198.4029755
35100;199.9854918;198.075202
35160;199.9963188;198.4285465
35220;200.3319558;198.1472656
35280;200.349279;197.7009357
35340;200.3687676;197.8659848
35400;199.5285925;198.1774859
35460;199.4333149;198.3123148
35520;200.8451555;198.0519556
35580;200.3038056;198.6470622
35640;199.9573416;198.1798105
35700;199.8469062;197.9380485
35760;200.1067542;197.4545243
35820;200.3471136;198.3960016
35880;200.176047;198.4959609
35940;200.1803778;198.3727553
36000;200.121912;198.7353984
36060;200.360106;199.1817284
36120;200.327625;198.6098681
36180;200.4120756;198.6633347
36240;199.991988;198.7168013
36300;200.5571573;198.737723
36360;198.8962958;197.7590515
36420;200.2128588;197.8148428
36480;200.7282239;198.7818911
36540;200.1673854;198.5610507
36600;200.8083437;198.0217353
36660;200.035296;198.9260185
36720;200.392587;198.4936363
36780;199.9768302;198.8051374
36840;199.8209214;198.7353984
36900;200.208528;198.2937177
36960;200.7736973;198.3890277
37020;200.2345128;198.1937584
37080;200.1695508;197.8148428
37140;200.4943608;198.4773639
37200;200.0417922;198.3564828
37260;200.6957429;198.2100308
37320;199.9833264;199.0097054
37380;199.8577332;198.6052188
37440;199.7927712;198.8586041
37500;200.1890394;198.8074621
37560;200.6221193;198.3239379
37620;200.2496706;198.5075841
37680;199.5199309;198.3890277
37740;200.9685833;198.4262219
37800;200.1197466;198.9446156
37860;200.2540014;197.9124775
37920;200.0656116;198.7818911
37980;199.8252522;198.7051781
38040;199.7689518;198.4866624
38100;199.8382446;198.9376417
38160;200.0266344;199.3374789
38220;199.7191477;198.2681467
38280;200.0829348;197.4405765
38340;200.2366782;198.221654
38400;199.8707256;198.5261812
38460;199.8555678;197.9241007
38520;200.6546003;198.1519149
38580;200.5051878;198.6819318
38640;200.533338;198.8725519
38700;200.4077448;199.7373162
38760;200.7173969;199.2003254
38820;200.2366782;199.3491021
38880;200.1414006;198.8028128
38940;200.1305736;199.3491021
39000;200.1522276;199.5397222
39060;200.6502695;198.6586854
39120;199.6974937;199.2886616
39180;200.2215204;198.9027721
39240;199.6866667;198.3564828
39300;200.1457314;199.5443715
39360;200.0223036;199.1631313
39420;200.6481041;198.9306678
39480;200.0980926;199.2444935
39540;199.7343055;199.0701459
39600;199.862064;199.4676585
39660;200.6589311;198.9492648
39720;199.9183644;199.8744697
39780;200.0266344;199.2723891
39840;199.9660032;199.7024467
39900;200.3990832;199.3026094
39960;200.2388436;199.4816063
40020;200.284317;199.2933109
40080;200.2063626;198.9213692
40140;200.3254596;199.45836
40200;200.219355;199.3700238
40260;200.5484958;198.9446156
40320;199.4159917;199.2816877
40380;200.3211288;199.1282618
40440;200.1154158;199.0980415
40500;200.4705414;199.1259371
40560;200.0591154;198.9887836
40620;199.7689518;200.2557099
40680;200.8754711;200.0162724
40740;200.0829348;199.2003254
40800;200.3730984;199.6792003
40860;200.4597144;199.5466961
40920;199.9313568;200.0023246
40980;200.4856992;199.1236125
41040;199.775448;200.2371128
41100;200.1803778;199.630383
41160;200.9642525;200.0092985
41220;200.1414006;199.3281804
41280;200.0049804;199.4513861
41340;200.5528266;199.5513454
41400;200.6567657;199.8721451
41460;200.2280166;199.3258558
41520;199.8469062;199.2421689
41580;200.0179728;199.6141105
41640;200.121912;199.7396408
41700;200.4099102;198.8167606
41760;200.1847086;199.381647
41820;200.4618798;199.8163538
41880;200.2496706;199.5722671
41940;199.8209214;199.6908235
42000;200.0699424;199.7861336
42060;200.533338;199.4374383
42120;200.2648284;200.0464927
42180;200.9707487;199.5629686
42240;200.3471136;199.5420468
42300;199.905372;199.2747138
42360;200.2648284;199.158482
42420;200.3557752;199.0538734
42480;200.5788113;199.7419655
42540;200.6134577;199.9116639
42600;199.6130431;199.6884989
42660;199.6693435;199.2072994
42720;200.554992;199.2630906
42780;200.7498779;199.3676992
42840;199.6282009;198.5773232
42900;200.511684;199.3328297
42960;199.9660032;199.4188412
43020;200.2778208;199.2189225
43080;200.0201382;199.7140699
43140;200.2366782;199.528099
43200;200.4835338;199.5908642
43260;200.2431744;199.3002848
43320;200.4878646;199.483931
43380;200.392587;199.2003254
43440;200.0980926;198.8074621
43500;200.3882562;199.5188005
43560;200.533338;199.4537107
43620;199.6346971;199.483931
43680;200.0309652;198.8004882
43740;200.1175812;199.5141512
43800;200.2106934;199.0213285
43860;199.6563511;199.5606439
43920;199.6346971;198.8539548
43980;200.1608892;199.3002848
44040;200.0699424;198.9027721
44100;200.0482884;199.2840123
44160;200.1132504;199.0654966
44220;200.262663;198.9701866
44280;199.6390279;199.6954728
44340;199.94868;199.5559947
44400;199.7061553;199.2654152
44460;199.6260355;199.1468588
44520;200.4402258;198.9632126
44580;200.435895;198.3518336
44640;199.7148169;199.0957169
44700;200.251836;199.4258151
44760;199.6476895;199.5652932
44820;199.7018245;199.5722671
44880;200.0721078;199.0864183
44940;200.2821516;199.0306271
45000;199.9573416;199.3514267
45060;199.7104861;199.4467368
45120;199.7234785;199.235195
45180;200.0591154;199.7303423
45240;200.0049804;199.3212065
45300;199.2427597;198.6656593
45360;199.8988758;199.2816877
45420;200.0915964;199.0701459
45480;198.8724764;198.9841344
45540;199.3553605;199.1491835
45600;199.6390279;199.0352763
45660;200.121912;198.1216947
45720;199.2774061;199.7163945
45780;200.4099102;199.0957169
45840;199.6325317;199.4258151
45900;199.5199309;199.286337
45960;200.5051878;199.8953914
46020;199.6130431;199.0910676
46080;199.5848929;199.2723891
46140;200.3211288;199.2421689
46200;200.5463304;199.6792003
46260;200.435895;199.1515081
46320;200.4337296;199.1352357
46380;199.9010412;199.6977974
46440;200.251836;199.4118673
46500;199.5719005;199.4792817
46560;199.7992674;199.5118266
46620;199.959507;199.2003254
46680;200.1782124;199.5699425
46740;200.392587;199.5071773
46800;200.262663;198.9306678
46860;200.7195623;199.3095833
46920;200.0851002;199.7117452
46980;200.2431744;199.4723078
47040;199.5459157;199.01203
47100;200.078604;199.432789
47160;200.2431744;199.6187598
47220;199.8165906;199.7373162
47280;199.6433587;199.6513047
47340;200.316798;199.3421282
47400;200.0331306;199.5048527
47460;200.5939691;199.3374789
47520;200.2388436;199.5583193
47580;200.4077448;198.5238566
47640;199.9789956;199.4513861
47700;200.0915964;198.814436
47760;199.7667864;198.0310339
47820;199.5654043;199.1933515
47880;200.0721078;199.1770791
47940;200.6307809;199.5583193
48000;199.7602903;199.4095426
48060;199.786275;199.407218
48120;200.4077448;199.1747545
48180;200.3795946;198.9678619
48240;200.0829348;199.3119079
48300;199.7667864;199.5629686
48360;200.5896383;199.1631313
48420;200.1522276;200.1627245
48480;200.5376688;199.7233684
48540;200.5290072;199.3119079
48600;199.3380373;199.6884989
48660;200.1175812;199.7047713
48720;199.6909975;199.2677399
48780;200.0179728;199.700122
48840;200.2756554;199.0794444
48900;199.764621;198.884175
48960;199.8425754;199.5350729
49020;200.0656116;199.0213285
49080;199.981161;199.3072587
49140;200.3232942;199.3119079
49200;199.7083207;198.4843378
49260;199.862064;199.6373569
49320;199.4917807;199.4816063
49380;200.1825432;199.5420468
49440;199.4657959;199.2258964
49500;200.392587;199.2026501
49560;199.6520203;199.7024467
49620;200.1284082;199.304934
49680;199.8685602;199.1166386
49740;200.2540014;198.8934736
49800;199.6238701;198.6540361
49860;199.5004423;198.8702272
49920;199.8923796;198.9074214
49980;200.0547846;199.4653339
50040;199.7927712;198.8214099
50100;200.7130661;199.5490207
50160;199.6087123;199.0213285
50220;199.7581249;198.7749172
50280;199.8144252;199.2537921
50340;200.6849159;199.5327483
50400;199.8122598;198.540129
50460;200.024469;199.0166793
50520;199.7884404;199.1654559
50580;200.1132504;198.9934329
50640;199.786275;198.9957575
50700;200.1782124;200.2464113
50760;199.6650127;199.6420062
50820;200.511684;199.8930668
50880;200.349279;199.5071773
50940;200.3341212;199.6327076
51000;200.327625;199.8117045
51060;200.4770376;199.10734
51120;200.0006496;199.4606846
51180;199.7884404;199.8210031
51240;200.9014559;199.7954321
51300;199.9248606;199.5048527
51360;200.4532182;199.7163945
51420;200.6589311;200.0720637
51480;200.2431744;199.4792817
51540;200.27349;199.4816063
51600;199.8035982;199.5676178
51660;200.3297904;199.3909455
51720;200.1305736;199.5164759
51780;199.6043815;199.4769571
51840;200.5614881;199.8884175
51900;199.6823359;199.0724705
51960;200.2973094;199.8233277
52020;200.0829348;199.4630092
52080;200.4510528;199.8837682
52140;201.0032297;199.9279363
52200;200.3557752;199.8628465
52260;200.544165;199.879119
52320;200.7195623;200.5648864
52380;200.8126745;199.923287
52440;200.9252753;199.8070553
52500;201.0400415;199.7861336
52560;200.4878646;199.6908235
52620;200.6957429;200.7066891
52680;200.8906289;200.2371128
52740;199.9789956;199.8210031
52800;200.3081364;199.9325856
52860;200.2799862;200.4370314
52920;199.5783967;200.0743883
52980;200.1630546;200.146452
53040;200.414241;200.6741442
53100;200.7325547;200.0371942
53160;200.035296;199.6373569
53220;200.1522276;200.0371942
53280;200.3232942;200.2022433
53340;200.4813684;199.2491428
53400;199.9551762;199.8907421
53460;200.3730984;199.5397222
53520;200.3081364;199.90469
53580;200.2128588;199.6420062
53640;200.1349044;200.3091765
53700;200.002815;199.8465741
53760;200.0742732;199.6187598
53820;199.94868;199.6652525
53880;200.2475052;200.3417214
53940;199.8100944;199.90469
54000;199.9963188;199.655954
54060;200.4943608;200.1046086
54120;199.7343055;199.6001627
54180;199.9226952;199.9558319
54240;200.0872656;199.2491428
54300;199.2167749;199.1887023
54360;200.3471136;199.7931075
54420;200.5030224;200.1929447
54480;200.8538171;199.9395595
54540;200.3860908;199.6141105
54600;200.0742732;199.5815656
54660;200.511684;199.8558726
54720;200.6329463;200.2464113
54780;200.1478968;200.1069332
54840;199.3965031;199.8000814
54900;200.4705414;200.0604405
54960;199.8035982;199.3955948
55020;200.067777;199.3095833
55080;200.4532182;199.4351136
55140;200.2648284;199.3839716
55200;200.3254596;200.1650491
55260;200.425068;199.1933515
55320;200.0764386;199.9790783
55380;200.0851002;199.9163131
55440;200.0764386;199.9116639
55500;199.927026;200.0278956
55560;199.9854918;199.6722264
55620;200.0851002;199.0980415
55680;199.905372;199.8605219
55740;200.349279;199.0678212
55800;200.349279;200.0092985
55860;200.0851002;199.8000814
55920;199.7732826;199.7349916
55980;199.6346971;200.2022433
56040;199.2882331;199.6768757
56100;200.3557752;199.4234904
56160;200.0937618;199.502528
56220;200.0829348;199.5606439
56280;199.6693435;199.5676178
56340;200.1197466;199.6745511
56400;199.7906058;199.5699425
56460;200.3536098;199.655954
56520;200.024469;199.5420468
56580;199.5134347;199.8744697
56640;200.4099102;199.7233684
56700;199.6520203;200.2464113
56760;200.4705414;199.6327076
56820;199.905372;199.381647
56880;199.6476895;199.1747545
56940;200.3341212;200.0023246
57000;199.2600829;200.0627652
57060;200.0634462;199.5769164
57120;200.089431;199.2723891
57180;199.7884404;200.102284
57240;199.7234785;199.9511827
57300;200.0937618;199.5815656
57360;200.1089196;199.5652932
57420;200.2799862;199.7884582
57480;200.316798;199.7907828
57540;199.5697351;199.8767943
57600;200.49003;199.7605626
57660;200.4120756;198.7330737
57720;199.6152085;199.5559947
57780;200.7563741;199.3537514
57840;199.9356876;199.7977567
57900;199.9226952;199.7373162
57960;200.2540014;200.6392747
58020;200.9014559;199.8884175
58080;200.2908132;199.1538327
58140;200.089431;199.5606439
58200;199.7278093;199.3723485
58260;199.8555678;199.1677806
58320;199.6000507;200.9531005
58380;200.9599217;200.1650491
58440;200.8148399;199.5350729
58500;200.0417922;199.90469
58560;199.8598986;199.4188412
58620;200.1825432;200.0790376
58680;200.3297904;200.0069739
58740;200.9772449;200.0581159
58800;199.8988758;200.0
58860;200.0526192;200.2347882
58920;201.0400415;200.0209217
58980;200.3752638;200.4649271
59040;200.5982999;199.7652118
59100;199.959507;199.7791596
59160;200.8148399;199.8465741
59220;200.2475052;199.8070553
59280;200.6979083;199.9418841
59340;200.6481041;199.6931481
59400;200.197701;200.1836462
59460;199.8274176;199.655954
59520;199.905372;199.9349102
59580;199.9118682;200.1162318
59640;200.067777;200.0069739
59700;200.6047961;199.8186784
59760;199.8252522;200.5276922
59820;199.7927712;199.8605219
59880;199.9854918;199.5885395
59940;199.8815526;200.3068519